Tier,Price,Features
Free,Free,"Included Single workspace with 3 editable boards and structured formats | Included Start faster and enhance productivity with 5,000+ Miro and community-made templates | Included Seamlessly integrate your workflows with 160+ apps, including Zoom, Slack, Google Drive, and Sketch | Included Use layers to show, hide, and group objects on the same board | featuresMatrix.featuresColumn.aiFeature Try Miro AI — 10 credits/month per team | Included Record and share 5 Talktracks to give interactive video walkthroughs of boards"
Starter,Free,"Included Create and share unlimited boards and structured formats such as Docs, Tables, Diagrams, and Slides, in one workspace New | Included Share boards publicly with unlimited Visitors, no sign-in required | Included Export boards in high resolution to JPG or PDF | Included Restore previous content with version history | Included Upload brand fonts or colors with Brand Center and create custom templates | Included Organize boards into project folders with Spaces or kickstart work with pre-built Blueprints | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 25 credits/month per member | Included Run interactive meetings with Timer, Voting, Video calls, Private mode, Estimation, and more | Included Restrict board access with Private boards | Included Record and share interactive video walkthroughs of boards with unlimited Talktracks | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Business,$16,"Included Create and share unlimited boards and structured formats in multiple private workspaces, customized for each team or client | Included Invite unlimited Guests to securely collaborate with clients or partners, sign-in required | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 50 credits/month per member | Included Visualize processes and systems with 3,600+ diagramming shapes and icons from UML, AWS, Azure, ERD, and more, or upload custom shapes | Included Map and prioritize tasks across teams with two-way Jira or Azure sync using Dependencies and Planner | Included Secure and simplify access with Single Sign On (SSO) through OKTA, OneLogin, Auth0, and more | Included Keep content up-to-date and connected across boards with Synced copies | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Enterprise,Contact sales,"Included Flexible license program scales Miro licenses with your usage, no extra fees or contract changes | Included Simplify admin tasks with SCIM, request management, billing groups, and more | Included Centralized account management and insights for adoption and usage | Included Organization-wide controls for Miro and third-party app integrations | Included Ensure enterprise-grade security with SSO, domain control, data classification and more | Included Choose data hosting in the EU or US with Miro's Data Center Residency Program | Included Engage with Miro's Customer Success Program | featuresMatrix.featuresColumn.aiFeature Fast-track innovation with Miro AI plus organization-wide or team-specific AI controls — 100 credits/month per member | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New | Paid add-on Miro Insights turns customer feedback into clear signals to build the right product New | Paid add-on Miro Portfolios keep teams’ work aligned with company goals New | Paid add-on Enterprise Guard for advanced data security and governance features | Paid add-on Access premium 24/7 support, and guaranteed SLAs"
