Tier,Price,Features
Free,Free,Unlimited cards | Up to 10 boards | Unlimited Power-Ups | 10MB per file | Mobile apps | 2FA
Standard,$5,Unlimited boards | Advanced checklists | Custom Fields | 250MB per file | 1000 automations | Saved searches
Premium,$10,Calendar Timeline Table Dashboard Map views | Admin controls | Collections | Unlimited automations | Multi-board guests
Enterprise,$17.50,Organization-wide permissions | Public board management | Attachment permissions | Free SSO SAML | Power-Up administration | Org-visible boards
