Tier,Price,Features
Free,Free,Up to 2 seats | 3 boards | Unlimited docs | 200+ templates | iOS Android apps
Basic,$9,Unlimited boards | Unlimited items | 5GB storage | Kanban Gantt calendar views | Prioritized support
Standard,$12,Timeline view | Calendar view | Guest access | Automations | Integrations
Pro,$19,Private boards | Chart view | Time tracking | Formula column | Dependency column
Enterprise,Contact sales,Enterprise-grade security | Advanced reporting | Multi-level permissions | Tailored onboarding | Premium support
