Tier,Price,Features
Starter,Free,Up to 3 Figma files | 3 FigJam boards | Unlimited viewers | Basic prototyping | 30-day version history | Community plugins
Professional,$12,Unlimited Figma files | Unlimited version history | Advanced prototyping | Team libraries | Dev Mode | Shared projects | Audio conversations
Organization,$45,Organization-wide libraries | Design system analytics | Branching and merging | Private plugins | Centralized billing | Advanced admin controls
Enterprise,$75,SAML SSO | Advanced security | Org-wide design systems | Custom workspaces | Audit logs | 99.9% uptime SLA | Dedicated support
