Tier,Price,Features
Free,Free,"Trial of Notion AI | Free for individual usage | Basic forms | Basic sites | Notion Calendar | Notion Mail (Syncs with Gmail) | Databases including subtasks, dependencies, custom properties and more"
Plus,$10,Unlimited AI | Unlimited file uploads | Version history | Advanced permissions | 100+ integrations | Priority support
Business,$20,SAML SSO | Advanced security | Bulk export | Custom onboarding | Admin tools | Private teamspaces
Enterprise,Contact sales,Advanced controls | Audit logs | User provisioning | Dedicated success manager | Custom contract | 99.9% uptime SLA
